Year,Month,Quantity,Quantity_YoY,Import,Import_YoY,Used,Used_YoY,Avg_CO2,Bensin_Co2,Diesel_Co2,Quantity_Diesel,Diesel_Share,Diesel_Share_LY,Quantity_Hybrid,Quantity_Electric,Import_Electric
2009,7,9394,-211,2838,-189,,,150,151,150,6952,74.0,69.7,,,
2009,8,7967,134,2250,-108,,,147,144,149,5489,68.9,69.4,,,
2009,9,9530,1077,2586,204,,,145,137,149,6700,70.3,70.5,,,
2009,10,10187,1797,2617,766,,,146,141,148,7426,72.9,68.7,,,
2009,11,9600,2648,2442,1295,,,148,144,150,7325,76.3,72.4,,,
2009,12,10250,2431,2395,1334,,,158,153,159,8341,81.4,75.0,,,
2010,1,9697,4344,1715,667,,,137,134,138,6972,71.9,67.3,,,
2010,2,9094,2807,1984,806,,,144,141,145,6739,74.1,69.9,,,
2010,3,11486,3885,2531,899,,,144,142,145,8534,74.3,70.2,,,
2010,4,10677,3173,2548,593,,,142,141,144,7784,72.9,70.3,,,
2010,5,9896,2475,2495,487,,,141,140,143,7204,72.8,72.2,,,
2010,6,11119,3538,2674,800,,,142,142,142,8328,74.9,73.2,,,
2010,7,11507,2113,3183,345,,,140,140,141,8780,76.3,74.0,,,
2010,8,10414,2447,2671,421,,,138,137,140,7665,73.6,68.9,,,
2010,9,11137,1607,2723,137,,,138,134,141,8275,74.3,70.3,,,
2010,10,10683,496,2472,-145,,,138,134,140,8215,76.9,72.9,,,
2010,11,11908,2308,2263,-179,,,140,138,141,9253,77.7,76.3,,,
2010,12,10136,-114,1755,-640,,,144,141,146,7987,78.8,81.4,,,
2011,1,10372,675,1765,50,,,135,132,138,7260,70.0,71.9,439.0,112.0,
2011,2,10543,1449,1949,-35,,,137,132,140,7949,75.4,74.1,257.0,124.0,
2011,3,12901,1415,2237,-294,,,136,132,141,9353,72.5,74.3,466.0,248.0,
2011,4,11330,653,2170,-378,,,136,132,139,8509,75.1,72.9,388.0,133.0,
2011,5,13005,3109,2428,-67,,,134,132,136,10027,77.1,72.8,357.0,146.0,
2011,6,10354,-765,2220,-454,,,135,134,137,8024,77.5,74.9,215.0,84.0,
2011,7,11189,-318,2719,-464,,,134,132,135,8560,76.5,76.3,293.0,43.0,
2011,8,11464,1050,2547,-124,,,132,131,134,8541,74.5,73.6,303.0,138.0,
2011,9,11737,600,2661,-62,,,132,129,136,8756,74.6,74.3,353.0,201.0,
2011,10,11543,860,2358,-114,,,132,130,135,8888,77.0,76.9,334.0,201.0,
2011,11,12357,449,2316,53,,,131,128,136,9465,76.6,77.7,339.0,338.0,
2011,12,11550,1414,1699,-56,,,134,131,135,9217,79.8,78.8,159.0,228.0,
2012,1,10838,466,1975,210,33940.0,,135,131,141,7587,70.0,70.0,324.0,257.0,
2012,2,10925,382,2111,162,33415.0,,130,131,136,7648,70.0,75.4,275.0,309.0,
2012,3,13051,150,2642,405,35798.0,,131,132,136,8836,67.7,72.5,443.0,322.0,
2012,4,10876,-454,2274,104,29716.0,,130,131,135,7233,66.5,75.1,345.0,260.0,
2012,5,12612,-393,2588,160,34212.0,,129,131,132,8463,67.1,77.1,403.0,304.0,
2012,6,11053,699,2505,285,39403.0,,131,132,135,7483,67.7,77.5,432.0,264.0,
2012,7,11920,731,3075,356,38926.0,,132,131,136,7808,65.5,76.5,442.0,256.0,
2012,8,11790,326,2953,406,37696.0,,127,127,135,7074,60.0,74.5,700.0,428.0,
2012,9,11134,-603,2774,113,35814.0,,125,127,136,6625,59.5,74.6,688.0,583.0,33.0
2012,10,12413,870,3126,768,39922.0,,127,123,138,7150,57.6,77.0,990.0,421.0,49.0
2012,11,11986,-371,2677,361,35300.0,,129,126,138,6784,56.6,76.6,788.0,314.0,58.0
2012,12,9369,-2181,1856,157,24106.0,,133,128,142,6043,64.5,79.8,312.0,232.0,71.0
2013,1,11639,801,2525,550,37079.0,3139.0,128,126,136,6436,55.3,70.0,633.0,337.0,95.0
2013,2,11322,397,2408,297,33109.0,-306.0,128,124,138,6137,54.2,70.0,588.0,334.0,83.0
2013,3,10735,-2316,2547,-95,31656.0,-4142.0,128,126,137,5872,54.7,67.7,665.0,343.0,96.0
2013,4,13988,3112,2868,594,35612.0,5896.0,127,126,137,7302,52.2,66.5,739.0,494.0,122.0
2013,5,12012,-600,2862,274,35361.0,1149.0,127,125,134,6583,54.8,67.1,762.0,348.0,127.0
2013,6,10948,-105,2636,131,37420.0,-1983.0,127,125,136,5978,54.6,67.7,656.0,372.0,156.0
2013,7,11312,-608,3089,14,41953.0,3027.0,127,124,135,6029,53.3,65.5,806.0,278.0,146.0
2013,8,11660,-130,2849,-104,37728.0,32.0,120,122,134,5888,50.5,60.0,925.0,700.0,243.0
2013,9,12168,1034,2596,-178,37977.0,2163.0,118,123,134,6194,50.9,59.5,894.0,1044.0,288.0
2013,10,12893,480,2581,-545,40970.0,1048.0,118,121,134,6369,49.4,57.6,1147.0,925.0,310.0
2013,11,12079,93,1990,-687,34469.0,-831.0,113,121,134,5870,48.6,56.6,849.0,1434.0,249.0
2013,12,11395,2026,1361,-495,26674.0,2568.0,115,123,134,6461,56.7,64.5,513.0,1273.0,181.0
2014,1,11385,-254,1833,-692,35908.0,-1171.0,117,123,136,5806,51.0,55.3,967.0,1099.0,203.0
2014,2,11246,-76,1728,-680,34182.0,1073.0,112,122,134,5533,49.2,54.2,899.0,1385.0,212.0
2014,3,13861,3126,1906,-641,37141.0,5485.0,101,122,135,6043,43.6,54.7,1029.0,2813.0,197.0
2014,4,12115,-1873,1997,-871,32785.0,-2827.0,114,121,134,6021,49.7,52.2,919.0,1260.0,229.0
2014,5,12337,325,2106,-756,35688.0,327.0,113,120,134,6082,49.3,54.8,946.0,1346.0,208.0
2014,6,11441,493,2051,-585,38199.0,779.0,110,119,133,5560,48.6,54.6,846.0,1446.0,197.0
2014,7,11690,378,2625,-464,41398.0,-555.0,111,119,133,5670,48.5,53.3,927.0,1365.0,231.0
2014,8,11444,-216,2197,-652,38060.0,332.0,107,119,133,5402,47.2,50.5,824.0,1736.0,292.0
2014,9,11585,-583,2473,-123,41434.0,3457.0,110,118,132,5375,46.4,50.9,1180.0,1300.0,348.0
2014,10,12963,70,2485,-96,41817.0,847.0,110,117,132,6248,48.2,49.4,1159.0,1398.0,413.0
2014,11,11486,-593,1852,-138,33572.0,-897.0,109,117,133,5571,48.5,48.6,1049.0,1418.0,296.0
2014,12,12649,1254,1504,143,27272.0,598.0,111,117,132,6982,55.2,56.7,846.0,1528.0,237.0
2015,1,10523,-862,1625,-208,38346.0,2438.0,101,118,133,4599,43.7,51.0,1112.0,1895.0,266.0
2015,2,10685,-561,1639,-89,35699.0,1517.0,102,119,134,4637,43.4,49.2,982.0,1919.0,277.0
2015,3,14159,298,2056,150,41427.0,4286.0,93,117,132,5862,41.4,43.6,1348.0,3391.0,320.0
2015,4,12782,667,1812,-185,33640.0,855.0,102,115,132,5624,44.0,49.7,1554.0,1975.0,282.0
2015,5,12036,-301,1855,-251,36691.0,1003.0,99,117,131,4959,41.2,49.3,1682.0,1868.0,260.0
2015,6,14207,2766,2007,-44,43356.0,5157.0,96,119,131,5683,40.0,48.6,1934.0,2617.0,286.0
2015,7,12394,704,2286,-339,44106.0,2708.0,102,120,131,4933,39.8,48.5,1583.0,1764.0,369.0
2015,8,12604,1160,1998,-199,38155.0,95.0,100,120,131,4815,38.2,47.2,1353.0,2166.0,572.0
2015,9,12421,836,1899,-574,42564.0,1130.0,100,119,131,4881,39.3,46.4,1556.0,2130.0,570.0
2015,10,13197,234,1808,-677,41453.0,-364.0,99,118,131,5239,39.7,48.2,1979.0,2045.0,746.0
2015,11,12600,1114,1538,-314,37512.0,3940.0,99,121,131,5002,39.7,48.5,1957.0,2040.0,661.0
2015,12,13078,429,1233,-271,32394.0,5122.0,104,117,132,5427,41.5,55.2,1433.0,1978.0,513.0
2016,1,10991,468,1219,-406,32085.0,-6261.0,96,117,130,4177,38.0,43.7,1992.0,1906.0,404.0
2016,2,12222,1537,1233,-406,36905.0,1206.0,95,119,130,4180,34.2,43.4,2794.0,1927.0,371.0
2016,3,13875,-284,1253,-803,36172.0,-5255.0,88,117,131,4745,34.2,41.4,3396.0,2597.0,465.0
2016,4,14116,1334,1451,-361,38896.0,5282.0,93,117,129,4277,30.3,44.0,3550.0,1993.0,433.0
2016,5,12864,828,1432,-423,36272.0,-392.0,96,116,129,3872,30.1,41.2,3449.0,1423.0,466.0
2016,6,13681,-526,1512,-495,43961.0,640.0,96,118,131,4255,31.1,40.0,3174.0,1906.0,440.0
2016,7,11040,-1354,1401,-885,40621.0,-3441.0,98,119,132,3422,31.0,39.8,2917.0,1103.0,342.0
2016,8,13232,628,1485,-513,42645.0,4522.0,93,117,132,3837,29.0,38.2,3676.0,2014.0,494.0
2016,9,13854,1433,1526,-373,42780.0,236.0,88,98,128,3838,27.7,39.3,3991.0,2629.0,517.0
2016,10,11932,-1265,1365,-443,39797.0,-1611.0,91,98,127,3544,29.7,39.7,3209.0,1861.0,486.0
2016,11,13194,594,1305,-233,39721.0,2246.0,88,100,128,3892,29.5,39.7,3181.0,2567.0,502.0
2016,12,13602,524,1137,-96,31761.0,-631.0,98,106,136,4829,35.5,41.5,2597.0,2319.0,361.0
2017,1,13055,2064,1549,330,36078.0,4047.0,84,94,118,3433,26.3,38.0,4419.0,2295.0,494.0
